"CLIENTE","SETOR","DOCUMENTO","metadata","document_date","ETIQUETA","CAIXA","ENDERECO"
Unilogic Canal Geek,Unilogic Canal Geek,Documentos Unilogic Canal Geek,"{""Pasta"":""165"",""Setor"":null,""Periodo"":""2014"",""Assunto"":""CC CITI"",""Observa\u00e7\u00e3o"":""FATURAS E COMPROVANTES DE PAGAMENTOS CITIBANK 2014"",""Data do Documento"":""31\/12\/2014"",""Etiqueta"":""2607786""}","2014-12-31",2607786,100766,"10A261102"
Unilogic Canal Geek,Unilogic Canal Geek,Documentos Unilogic Canal Geek,"{""Pasta"":""166"",""Setor"":null,""Periodo"":null,""Assunto"":""PAYPAL FELIPE"",""Observa\u00e7\u00e3o"":""AUTORIZA\u00c7\u00d5ES DE PAGAMENTOS E AVISOS DE RECEBIMENTOS - PAYPAL"",""Data do Documento"":""31\/12\/2020"",""Etiqueta"":""2607787""}","2020-12-31",2607787,100766,"10A261102"
Unilogic Canal Geek,Unilogic Canal Geek,Documentos Unilogic Canal Geek,"{""Pasta"":""162"",""Setor"":null,""Periodo"":null,""Assunto"":""UNILOGIC - DOCUMENTACAO"",""Observa\u00e7\u00e3o"":""CONTRATO SOCIAL E ALTERA\u00c7\u00d5ES, C\u00d3PIAS AUTENTICADAS DOCUMENTOS PESSOAIS S\u00d3CIOS, CNPJ, CADESP, INSCRI\u00c7\u00c3O SECRETARIA DE FINAN\u00c7AS S\u00c3O BERNARDO DO CAMPO, CONSULTA TRIBUT\u00c1RIA, ENQUADRAMENTO EPP, SENHA DE ACESSO Nfe, CND'S, FICHA CADASTRAL, DOCUMENTOS JUCESP, DECLARA\u00c7\u00c3O SIMPLIFICADA PJ INATIVA 2008, DOCUMENTOS DE BAIXA DE CNPJ UNILOGIC FILIAL"",""Data do Documento"":""31\/12\/2022"",""Etiqueta"":""2607783""}","2022-12-31",2607783,100765,"10A261103"
Unilogic Canal Geek,Unilogic Canal Geek,Documentos Unilogic Canal Geek,"{""Pasta"":""163"",""Setor"":null,""Periodo"":null,""Assunto"":""SINDICATO"",""Observa\u00e7\u00e3o"":""CARTAS DE OPOSI\u00c7\u00c3O, CONVEN\u00c7\u00d5ES COLETIVAS, GUIAS DE RECOLHIMENTOS DE CONTRIBUI\u00c7\u00d5ES SINDICAIS E MENSALIDADES DE S\u00d3CIOS"",""Data do Documento"":""31\/12\/2022"",""Etiqueta"":""2607784""}","2022-12-31",2607784,100765,"10A261103"
Unilogic Canal Geek,Unilogic Canal Geek,Documentos Unilogic Canal Geek,"{""Pasta"":""164"",""Setor"":null,""Periodo"":null,""Assunto"":""PAGAMENTO DIVIDENDO SOCIOS"",""Observa\u00e7\u00e3o"":""COMPROVANTES DE PAGAMENTOS E TRANSFER\u00caNCIAS, REEMBOLSOS"",""Data do Documento"":""31\/12\/2022"",""Etiqueta"":""2607785""}","2022-12-31",2607785,100765,"10A261103"
Unilogic Canal Geek,Unilogic Canal Geek,Documentos Unilogic Canal Geek,"{""Pasta"":""159"",""Setor"":null,""Periodo"":""2009 A 2012"",""Assunto"":""IMOBILIARIA"",""Observa\u00e7\u00e3o"":""MPM ADMINISTRADORA DE CONDOM\u00cdNIOS ( IMOBILI\u00c1RIA ASTRO) - CONVOCA\u00c7\u00d5ES, ATA DE ASSEMBL\u00c9IA, BOLETOS,  COMPROVANTES E RECIBOS DE PAGAMENTOS, AVISOS DE REAJUSTES  - 2009 A 2012"",""Data do Documento"":""31\/12\/2012"",""Etiqueta"":""2607780""}","2012-12-31",2607780,100764,"10A261104"
Unilogic Canal Geek,Unilogic Canal Geek,Documentos Unilogic Canal Geek,"{""Pasta"":""160"",""Setor"":null,""Periodo"":""2005 A 2013"",""Assunto"":""VIVO"",""Observa\u00e7\u00e3o"":""TERMOS DE CESS\u00c3O E TRANFER\u00caNCIA DE DIREITOS E OBRIGA\u00c7\u00d5ES CONTRATUAIS, DECLARA\u00c7\u00d5ES DE QUITA\u00c7\u00d5ES DE D\u00c9BITOS, PROTOCOLO DE ENTREGA DE EQUIPAMENTOS, ORDENS DE SERVI\u00c7OS, FATURAS E COMPROVANTES DE PAGAMENTOS - 2005 A 2013"",""Data do Documento"":""31\/12\/2013"",""Etiqueta"":""2607781""}","2013-12-31",2607781,100764,"10A261104"
Unilogic Canal Geek,Unilogic Canal Geek,Documentos Unilogic Canal Geek,"{""Pasta"":""161"",""Setor"":""RECURSOS HUMANOS"",""Periodo"":""2010 A 2013"",""Assunto"":""INSS"",""Observa\u00e7\u00e3o"":""GUIAS DE RECOLHIMENTO INSS (GPS) - 2010 A 2013"",""Data do Documento"":""31\/12\/2013"",""Etiqueta"":""2607782""}","2013-12-31",2607782,100764,"10A261104"
Unilogic Canal Geek,Unilogic Canal Geek,Documentos Unilogic Canal Geek,"{""Pasta"":""157"",""Setor"":null,""Periodo"":null,""Assunto"":""SANTA HELENA"",""Observa\u00e7\u00e3o"":""FICHAS DE INCLUS\u00c3O E EXCLUS\u00d5ES DE FUNCION\u00c1RIOS, BOLETOS, NOTAS FISCAIS E COMPROVANTES DE PAGAMENTOS "",""Data do Documento"":""31\/12\/2022"",""Etiqueta"":""2607778""}","2022-12-31",2607778,100763,"10A261105"
Unilogic Canal Geek,Unilogic Canal Geek,Documentos Unilogic Canal Geek,"{""Pasta"":""158"",""Setor"":null,""Periodo"":""2011 A 2013"",""Assunto"":""GVT"",""Observa\u00e7\u00e3o"":""FATURAS E COMPROVANTES DE PAGAMENTOS - 2011 A 2013"",""Data do Documento"":""31\/12\/2013"",""Etiqueta"":""2607779""}","2013-12-31",2607779,100763,"10A261105"
