"CLIENTE","SETOR","DOCUMENTO","metadata","document_date","ETIQUETA","CAIXA","ENDERECO"
Soft Box,SOFT BOX,DOCUMENTOS SOFT BOX,"{""Periodo"":""JANEIRO - ABRIL"",""Ano"":""2015"",""Descri\u00e7\u00e3o"":""COPIA DE CHEQUE \/ EXTRATOS BANCARIOS \/ MOVIMENTO DE BANCO \/ MOVIMENTO DE CAIXA \/ NOTA FISCAL DE ENTRADA"",""Setor"":""CONTABILIDADE"",""Caixa Cliente"":""CAIXA 41"",""Container \/ Box"":""529120"",""Data do Documento"":""30\/04\/2015"",""Etiqueta"":""2286010""}","2015-04-30",2286010,84117,"10A070917"
Soft Box,SOFT BOX,DOCUMENTOS SOFT BOX,"{""Periodo"":null,""Ano"":null,""Descri\u00e7\u00e3o"":""COPIA DE CHEQUE \/ EXTRATOS BANCARIOS \/ MOVIMENTO DE BANCO \/ MOVIMENTO DE CAIXA"",""Setor"":""CONTABILIDADE"",""Caixa Cliente"":""CAIXA 40"",""Container \/ Box"":""479940\/3"",""Data do Documento"":""22\/07\/2021"",""Etiqueta"":""2286009""}","2021-07-22",2286009,84116,"10A070918"
Soft Box,SOFT BOX,DOCUMENTOS SOFT BOX,"{""Periodo"":""OUTUBRO "",""Ano"":""2015"",""Descri\u00e7\u00e3o"":""COPIA DE CHEQUE \/ EXTRATOS BANCARIOS \/ MOVIMENTOS DE BANCO \/ MOVIMENTOS DE CAIXA \/ NOTA FISCAL DE ENTRADA"",""Setor"":""CONTABILIDADE"",""Caixa Cliente"":""CAIXA 40"",""Container \/ Box"":""529114"",""Data do Documento"":""31\/10\/2015"",""Etiqueta"":""2286008""}","2015-10-31",2286008,84115,"10A070919"
Soft Box,SOFT BOX,DOCUMENTOS SOFT BOX,"{""Periodo"":""JULHO - DEZEMBRO"",""Ano"":""2015"",""Descri\u00e7\u00e3o"":""COPIA DE CHEQUE \/ EXTRATOS \/ MOVIMENTO DE BANCO \/ MOVIMENTO DE CAIXA \/ NOTA FISCAL DE ENTRADA"",""Setor"":""CONTABILIDADE"",""Caixa Cliente"":""CAIXA 39"",""Container \/ Box"":""529110"",""Data do Documento"":""31\/12\/2015"",""Etiqueta"":""2286007""}","2015-12-31",2286007,84114,"10A070920"
Soft Box,SOFT BOX,DOCUMENTOS SOFT BOX,"{""Periodo"":"""",""Ano"":""2013"",""Descri\u00e7\u00e3o"":""COPIA DE CHEQUE \/ MOVIMENTO DE BANCO \/ MOVIMENTO DE CAIXA \/ NOTA FISCAL DE ENTRADA"",""Setor"":""CONTABILIDADE"",""Caixa Cliente"":""CAIXA 39"",""Container \/ Box"":""479940\/2"",""Data do Documento"":""31\/12\/2013"",""Etiqueta"":""2286006""}","2013-12-31",2286006,84113,"10A070921"
Soft Box,SOFT BOX,DOCUMENTOS SOFT BOX,"{""Periodo"":"""",""Ano"":""2015"",""Descri\u00e7\u00e3o"":""MOVIMENTO DE CAIXA \/ COPIA DE CHEQUE \/ EXTRATOS BANCARIOS \/ MOVIMENTO DE BANCO \/ NOTA FISCAL DE ENTRADA"",""Setor"":""CONTABILIDADE"",""Caixa Cliente"":""CAIXA 38"",""Container \/ Box"":""529107"",""Data do Documento"":""30\/11\/2015"",""Etiqueta"":""2286005""}","2015-11-30",2286005,84112,"10A070922"
Soft Box,SOFT BOX,DOCUMENTOS SOFT BOX,"{""Periodo"":""JANEIRO - DEZEMBRO"",""Ano"":""2012"",""Descri\u00e7\u00e3o"":""COPIA DE CHEQUE \/ EXTRATOS BANCARIOS \/ MOVIMENTO DE BANCO \/ MOVIMENTO DE CAIXA \/ NOTA FISCAL DE ENTRADA"",""Setor"":""CONTABILIDADE"",""Caixa Cliente"":""CAIXA 38"",""Container \/ Box"":""479940\/1"",""Data do Documento"":""31\/12\/2012"",""Etiqueta"":""2286004""}","2012-12-31",2286004,84111,"10A070923"
Soft Box,SOFT BOX,DOCUMENTOS SOFT BOX,"{""Periodo"":null,""Ano"":null,""Descri\u00e7\u00e3o"":""DOCUMENTOS SOFTBOX"",""Setor"":""DEPARTAMENTO PESSOAL \/ CONTABILIDADE"",""Caixa Cliente"":""CAIXA 37 "",""Container \/ Box"":""482851\/1"",""Data do Documento"":""22\/07\/2021"",""Etiqueta"":""2286003""}","2021-07-22",2286003,84110,"10A070924"
Soft Box,SOFT BOX,DOCUMENTOS SOFT BOX,"{""Periodo"":""JUHLO - DEZEMBRO"",""Ano"":""2014 - 2015"",""Descri\u00e7\u00e3o"":""MOVIMENTO CAIXA \/ MOVIMENTO BANCO \/ EXTRATOS \/ COPIAS DE CHEQUES \/ NOTAS FISCAIS DE ENTRADA"",""Setor"":""CONTABILIDADE"",""Caixa Cliente"":""CAIXA 37"",""Container \/ Box"":""529105"",""Data do Documento"":""31\/12\/2015"",""Etiqueta"":""2286002""}","2015-12-31",2286002,84109,"10A071001"
Soft Box,SOFT BOX,DOCUMENTOS SOFT BOX,"{""Periodo"":""JUNHO"",""Ano"":""2012"",""Descri\u00e7\u00e3o"":""COPIA DE CHEQUE \/ MOVIMENTO DE BANCO \/ MOVIMENTO DE CAIXA"",""Setor"":""CONTABILIDADE"",""Caixa Cliente"":""CAIXA 37"",""Container \/ Box"":""479939\/3"",""Data do Documento"":""30\/06\/2012"",""Etiqueta"":""2286001""}","2012-06-30",2286001,84108,"10A071002"
